name,country,difficulty,elevation (feet),elevation (meters),latitude,longitude,nearest major airport,year first climbed,continent
Akioud Buimras,morocco,scramble,13156,4010,,,agadir marrakesch,,africa
Anghomar,morocco,scramble,11844,3610,31.574404,-7.021079,marrakesh,,africa
Angour,morocco,scramble,11864,3616,31.1753,-7.8254,marrakech,,africa
"Baker, Mount",uganda,basic snow/ice climb,15889,4843,0.366667,29.8833,kampala uganda  kigali rwanda  bujumbura burundi  nairobi kenya,1906,africa
Binga,mozambique,scramble,7995,2437,-19.783333,33.066667,harare,,africa
Bisoke,,walk up,12175,3711,,,kigali international airport,,africa
Bwahit,ethiopia,walk up,14534,4430,13.300469,38.327694,gondar,,africa
Cameroon Mountain,cameroon,walk up,13354,4070,4.2,9.18333,douala cameroon,1861,africa
Cathedral Peak,south africa,scramble,9856,3004,-28.9167,29.15,johannesburg or durban south africa,1917,africa
Cedarberg,south africa,,6647,2026,,,cape town (300 km away),,africa
Champagne Castle,south africa,scramble,11811,3600,-29.077638,29.329858,durban international,,africa
Devil's Peak,south africa,walk up,3281,1000,-33.9167,18.4167,cape town,,africa
"Elgon, Mount",uganda/kenya,walk up,14178,4321,1.13333,34.55,nairobi kenya,1911,africa
Emi Koussi,chad,walk up,11204,3415,19.8333,18.5,n'djamena chad,1938,africa
"Emin, Mount",congo democratic republic of the,technical climb,15740,4798,0.433333,29.9,kampala uganda  kigali rwanda  bujumbura burundi  nairobi kenya,1906,africa
Gahinga,rwanda/uganda,walk up,11565,3525,-1.28333,30.0667,kigali,,africa
"Gessi, Mount",congo democratic republic of the,scramble,15470,4715,0.433333,29.9167,kampala uganda  kigali rwanda  bujumbura burundi  nairobi kenya,1906,africa
Giant's Castle,south africa,,10761,3280,-29.346053,29.482561,durban international,,africa
Groot Wellington Sneeukop,south africa,scramble,5587,1703,,,cape town international,,africa
Groot-winterhoek Peak,south africa,scramble,6818,2078,,,cape town international,,africa
"Guera, Mount or Pic du Guerra",chad,walk up,4750,1447.8000000000002,11.9167,18.2,ndjamena,,africa
Hlolela,south africa,,7218,2200,,,durban international,,africa
Imaradene,morocco,walk up,11650,3551,,,marrakech,,africa
Imet Gogo,ethiopia,scramble,12881,3926,13.328826,38.32499,gondar,,africa
Immuzer,morocco,walk up,13156,4010,,,agadir marrakesch,,africa
Inatye,ethiopia,walk up,13353,4070,13.320808,38.323317,gondar,,africa
Jbel Mgoum,morocco,walk up,13336,4065,,,marakkesh,,africa
Jebel Chaambi,tunisia,walk up,5066,1544,35.2167,8.63333,gafsa,,africa
Jebel Uweinat,sudan/libya,scramble,6345,1934,21.9167,25.0167,cairo international (egypt),1932,africa
